Ee Egamma t theta
43.9274 62.5104 0.350925 3.11515
46.6046 55.8819 -1.3778 2.88897
46.1097 57.5618 -0.822081 3.09987
62.643 51.7564 -0.279542 3.05026
50.9942 52.6606 -0.19188 3.05934
59.7861 58.2967 -1.03878 3.08125
60.0352 51.7464 -0.971724 2.91501
58.0212 47.5932 -0.190743 2.91446
55.3467 52.5033 -0.265706 3.01505
41.284 41.4701 1.9065 3.1141
47.1281 54.2345 -1.42755 3.02818
55.878 51.6873 -0.0441875 3.11863
55.2516 52.5359 -0.0438626 2.94799
50.1801 56.6105 0.217613 3.1092
56.4935 55.1862 -0.889474 3.14089
54.4605 52.3823 0.731075 3.02934
45.7542 53.6943 -1.55624 3.12662
45.3003 54.3669 -0.344233 3.12757
51.262 49.178 0.223462 2.82575
55.4154 54.2355 -1.57293 2.89449
59.7341 53.7963 -2.6645 2.85302
46.3723 53.111 0.518879 2.79645
41.6014 52.1498 1.23022 2.9135
46.3929 48.6089 0.401064 2.90876
48.0633 53.1063 -0.155547 2.99092
53.2282 58.6923 2.20621 3.05158
59.5783 51.2254 -1.1882 2.99345
49.6619 48.5638 0.967518 3.01578
61.1128 50.7929 0.182941 2.87689
54.4544 39.3426 -0.233488 3.08414
51.5688 55.0017 0.395294 3.06406
59.0615 60.4057 -0.19843 2.88618
55.5821 45.7661 -0.860404 2.92333
59.2457 51.8849 -0.174371 3.04241
59.6475 57.1235 -1.14501 2.91708
52.0344 48.4017 -0.182151 3.13507
62.4556 63.6621 -0.591359 3.13307
48.616 59.7959 -0.146622 2.97508
46.8541 50.4939 -1.06534 3.04944
45.8975 58.2004 -0.600439 3.12613
47.3729 66.8986 0.659417 3.0107
54.2551 60.3295 -0.24817 3.04827
53.4791 41.3206 0.34085 3.04721
45.2088 48.736 -0.676 2.99024
56.7433 53.694 -0.251593 2.82116
61.9152 49.3358 -0.736225 3.01047
49.6021 53.8756 -0.499414 2.99573
54.8861 57.3571 0.459958 2.94786
50.1007 54.6607 -0.230034 3.07541
50.4429 53.4134 -0.395908 3.06645
50.5327 53.6865 -1.2373 2.95005
60.3354 56.9199 0.80166 2.97112
45.775 68.9166 -0.329592 2.96606
54.2992 53.7191 -2.11099 3.13459
47.5498 49.9974 -1.33395 3.03552
57.996 60.1224 -0.30297 2.98366
52.7541 53.0578 -0.207666 2.81382
52.9019 54.4659 1.11565 3.04288
55.9333 51.3809 0.993038 2.99911
47.7312 55.7029 -0.804374 3.13451
44.7859 53.2884 -0.053724 3.09684
43.4087 59.4391 -0.158304 3.12089
48.9988 46.5587 0.168949 2.81931
49.1559 60.7399 -0.418738 3.04727
60.2415 52.3505 0.932318 3.05551
51.6314 56.0965 -0.189492 3.01136
48.0646 54.8404 0.664527 3.12616
43.8945 56.2421 1.12114 2.87608
53.4185 45.7571 0.389271 2.9583
