Ee Egamma t theta
51.0925 52.6696 -0.0959401 3.01906
41.9026 42.0781 0.953248 3.10063
47.4336 54.1592 -0.713777 2.97264
54.3731 52.4062 0.365538 2.97437
46.1332 53.6479 -0.778121 3.11929
45.7037 54.2846 -0.172116 3.12071
51.346 49.3734 0.111731 2.67109
46.7183 53.0958 0.259439 2.62743
42.2029 52.1861 0.615108 2.80181
46.7377 48.8347 0.200532 2.79474
48.3187 53.0913 -0.0777737 2.91713
49.8317 48.7921 0.483759 2.95417
54.3674 40.0645 -0.116744 3.05601
51.6364 54.8854 0.197647 3.02609
52.0771 48.6387 -0.0910757 3.13188
47.1742 50.6188 -0.532669 3.00432
53.4443 41.9365 0.170425 3.001
45.6171 48.9551 -0.338 2.91612
49.775 53.8195 -0.249707 2.9243
50.247 54.5626 -0.115017 3.043
50.5708 53.3821 -0.197954 3.02965
50.6558 53.6405 -0.618651 2.85626
54.2206 53.6714 -1.05549 3.13116
47.8327 50.1489 -0.666973 2.98357
52.7582 53.0455 -0.103833 2.65331
52.898 54.3783 0.557827 2.99454
45.2169 53.2638 -0.026862 3.07493
49.2041 46.8942 0.0844743 2.66149
48.3199 54.7326 0.332264 3.1186
53.387 46.1356 0.194636 2.86855
48.3289 52.1161 0.217594 3.04362
49.6863 53.1544 0.654892 3.12654
51.5934 46.2862 0.741171 3.13822
53.0623 53.1273 0.238901 2.96513
42.622 46.2386 -0.437054 2.59571
48.5838 51.6876 -0.525235 3.00826
41.6361 53.0198 -0.406328 2.90395
40.1209 51.777 0.807177 2.87508
49.5893 48.3167 -1.07583 3.12045
52.5393 42.5038 -0.722295 2.72032
48.6133 50.3771 0.299105 3.06242
52.6304 48.5325 0.119525 3.11388
41.1171 51.2252 -0.0382603 2.48042
52.9366 53.1346 -0.243385 2.93371
54.742 49.329 -0.0669653 3.06272
45.5373 51.599 -0.0819502 3.0765
46.1317 52.3205 0.442554 2.82711
52.292 52.7315 -0.0632353 3.01485
47.5217 49.4916 0.18743 2.81439
51.2381 53.2958 0.788538 2.9686
54.7383 52.5975 -0.0340952 3.0676
54.9925 52.9925 0.444293 3.018
49.3731 53.5664 0.60817 2.97456
48.3959 51.4294 0.218593 2.9836
50.1272 50.7566 0.0682273 3.07432
48.8478 48.0968 -0.426535 3.0035
52.8843 50.2757 0.137493 3.13687
48.6014 42.2024 0.565616 2.89021
53.7957 49.0765 0.80864 2.86483
51.3417 54.0908 0.189648 2.94154
52.8142 54.2672 -0.23906 3.0036
54.665 50.4141 0.0440034 2.91727
47.7722 49.3194 -0.503583 2.81693
48.1028 41.3554 -0.134694 2.96634
51.4862 54.4102 -0.317 2.96454
52.3296 49.8374 0.376044 3.13805
50.7254 53.2369 -0.418954 3.08895
48.375 51.0827 -0.337061 3.03432
49.9449 44.2882 0.238766 2.87214
47.2668 48.2618 -0.0180234 2.52217
52.6911 49.1994 0.484767 2.6367
47.9192 54.8081 -0.489925 3.01157
42.231 45.7358 0.840887 2.89114
50.1616 54.7986 -0.375478 3.0448
52.7339 49.5212 -0.0331197 2.996
51.412 51.3325 0.165655 3.08063
45.9743 47.021 -0.450158 2.82573
47.1913 50.7237 0.629518 3.06732
47.5129 45.0874 0.72678 2.87218
47.0671 43.2718 0.52218 2.68157
45.7994 50.5129 -0.787334 2.72976
52.3679 49.966 0.138752 2.7722
48.3958 51.8152 -0.751078 3.14095
46.1461 49.2394 0.420196 3.12231
51.1401 47.9823 -0.506601 2.91862
51.5779 48.0783 0.0300673 2.81927
49.8423 51.0066 -0.203626 3.13074
48.711 54.9049 -0.186259 2.9811
52.7696 52.3016 0.333742 2.82164
