Ee Egamma t theta
47.3552 50.6279 0.458123 2.86629
44.3813 43.6527 -0.360368 2.62192
44.5829 47.1773 -0.619811 2.64524
40.5591 44.7437 -0.867608 2.8653
40.9493 42.2429 -0.394711 3.07453
40.2136 52.2301 -0.030569 2.54637
46.9454 45.7679 -0.523876 2.78085
49.8749 42.459 -0.158973 2.83516
41.8845 50.3296 -0.1903 2.7173
53.064 45.6908 0.475251 2.51027
40.3813 45.8946 0.964268 2.70565
42.7734 41.1488 0.293706 2.94054
42.0125 47.886 0.465227 2.61685
47.272 48.8985 0.24459 2.81089
45.8528 43.1734 -0.116313 2.80754
45.4744 44.2663 -0.578309 2.86388
41.1673 43.9379 0.614989 2.37309
46.9436 44.6932 0.473657 2.38764
47.6399 49.8465 0.276311 2.71388
49.3556 46.7573 -0.533927 2.80718
41.4891 44.794 0.360661 3.03263
47.7489 44.8605 0.435595 2.89297
49.6584 51.9964 -0.0309902 3.00914
40.9053 50.8508 -0.545303 2.39142
51.3777 47.2526 -0.705564 2.79339
44.1183 40.6241 -0.310871 2.7414
40.9204 47.581 1.05636 3.08423
46.7511 44.3257 -0.250147 2.96052
46.9284 43.6954 -0.316474 2.5999
40.1513 41.5445 -0.876171 2.56507
46.3056 43.3598 0.396353 2.85117
46.2361 45.3519 -0.392512 3.00647
43.2563 52.3996 -0.000150944 2.61357
40.1412 46.161 0.892816 3.03026
44.8648 44.3899 -1.10656 2.74252
48.9723 44.2703 0.938036 2.89618
47.2859 46.9801 0.298248 2.84289
47.0156 42.0366 0.0810693 2.84872
40.1946 42.8523 0.33163 2.70413
45.8279 40.2118 0.53265 2.9042
47.1734 40.1398 -0.179808 2.6846
51.8805 43.3368 0.131519 2.96309
43.8309 40.8839 -0.279471 2.67399
40.6142 43.2632 0.150367 2.85346
43.784 46.3224 -0.196091 2.61055
49.669 45.8214 0.173284 2.7507
40.6785 45.3861 0.571577 3.06009
50.3301 40.6088 -0.475304 3.11882
40.2529 47.6822 -0.331486 2.91524
48.2225 40.5055 0.221657 2.39674
44.7794 49.5238 -1.18329 2.90719
42.5737 44.4974 -0.225964 2.69007
42.5725 42.445 -0.703308 2.78088
46.0865 46.4871 0.20203 2.79665
49.2117 40.8786 0.0255363 2.87735
43.9318 42.9102 0.0655355 2.59937
41.2077 45.9803 0.654373 3.05192
45.0624 44.7355 0.350931 2.86331
47.7018 40.784 -0.695029 2.89116
41.8543 48.265 0.278888 3.06991
42.6979 51.0305 0.991904 2.86263
45.1624 44.7592 1.38712 2.71308
43.2248 44.256 -1.07611 2.40075
48.888 40.345 0.70261 2.86714
44.2635 43.1313 0.258819 2.63439
46.2831 45.7269 -0.718483 2.91364
45.4061 47.7893 0.182036 3.04191
47.0206 40.4333 -0.166982 3.00865
49.2969 50.7354 -0.170853 2.57598
43.0233 50.9671 -0.348801 2.78545
44.2374 41.4034 0.0477905 3.02597
51.2685 47.259 0.0904778 2.93984
42.4775 40.5406 -0.124882 2.95446
46.8433 41.3633 -0.262742 2.64941
47.7306 46.5513 0.104452 2.61797
