# Focused high-stat FC scan around the observed boundary (100000 toy/point)
# BR  N_sig_nom  q_obs  p_value  accepted  valid_toys  N_rmd_prof  N_acc_prof
0.00088 1.503312381 3.00662694 0.1076432293 1 99997 1.662526559 15.32115923
0.00089 1.520395476 3.040793182 0.1061706171 1 99990 1.662526561 15.32115923
0.0009 1.537478571 3.074959424 0.1038910389 1 99999 1.662526563 15.32115924
0.00091 1.554561666 3.109125668 0.10385727 1 99993 1.662526566 15.32115924
0.00092 1.571644761 3.143291912 0.1031730952 1 99997 1.662526568 15.32115924
0.00093 1.588727857 3.177458156 0.103274131 1 99996 1.66252657 15.32115924
0.00094 1.605810952 3.211624401 0.1028530856 1 99997 1.662526573 15.32115924
0.00095 1.622894047 3.245790647 0.1034551728 1 99995 1.662526575 15.32115924
0.00096 1.639977142 3.279956893 0.1015530466 1 99997 1.662526577 15.32115925
0.00097 1.657060238 3.31412314 0.1020030601 1 99997 1.66252658 15.32115925
0.00098 1.674143333 3.348289387 0.1017261036 1 99994 1.662526582 15.32115925
0.00099 1.691226428 3.382455635 0.100102002 1 99998 1.662526584 15.32115925
0.001 1.708309523 3.416621884 0.1005850293 1 99995 1.662526587 15.32115925
0.00101 1.725392619 3.450788133 0.1000530016 1 99997 1.662526589 15.32115926
0.00102 1.742475714 3.484954382 0.1004980398 1 99992 1.662526591 15.32115926
0.00103 1.759558809 3.519120633 0.09967498375 0 99995 1.662526594 15.32115926
0.00104 1.776641904 3.553286884 0.1010180814 1 99992 1.662526596 15.32115926
0.00105 1.793724999 3.587453135 0.09865493275 0 99995 1.662526598 15.32115926
0.00106 1.810808095 3.621619387 0.09856197124 0 99998 1.662526601 15.32115926
0.00107 1.82789119 3.65578564 0.09606096061 0 99999 1.662526603 15.32115927
